City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,30.2,86,40,4.61,scattered clouds
1,Anadyr,RU,64.75,177.4833,59.5,38,0,7.29,clear sky
2,Buin,CL,-33.7333,-70.75,64.06,41,100,2.64,overcast clouds
3,Upernavik,GL,72.7868,-56.1549,31.33,94,100,4.32,overcast clouds
4,Hobart,AU,-42.8794,147.3294,46.99,76,0,9.22,clear sky
5,Albany,US,42.6001,-73.9662,48.38,94,100,5.55,heavy intensity rain
6,Rikitea,PF,-23.1203,-134.9692,75.42,69,66,12.44,broken clouds
7,Raesfeld,DE,51.7667,6.85,57.79,95,0,6.42,clear sky
8,Butaritari,KI,3.0707,172.7902,83.01,78,26,12.86,scattered clouds
9,Elko,US,41.0002,-115.5012,78.82,16,9,8.66,clear sky
10,Fez,MA,34.0372,-4.9998,77.0,47,40,5.75,scattered clouds
11,Cockburn Town,TC,21.4612,-71.1419,80.56,74,40,11.5,scattered clouds
12,Salalah,OM,17.0151,54.0924,82.4,89,75,5.75,broken clouds
13,Kathu,TH,7.9178,98.3332,85.62,84,100,7.09,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,56.73,67,100,13.73,overcast clouds
15,Victoria Point,AU,-27.5833,153.3,70.48,66,87,3.0,overcast clouds
16,Safaga,EG,26.7292,33.9365,82.35,32,99,7.2,overcast clouds
17,Iqaluit,CA,63.7506,-68.5145,38.93,80,90,3.0,overcast clouds
18,Hilo,US,19.7297,-155.09,82.4,65,75,16.11,broken clouds
19,Kapaa,US,22.0752,-159.319,84.52,71,20,1.01,few clouds
20,Elk City,US,35.412,-99.4043,75.69,60,1,14.97,clear sky
21,Faanui,PF,-16.4833,-151.75,79.92,73,100,15.86,overcast clouds
22,Busselton,AU,-33.65,115.3333,54.09,65,100,14.27,overcast clouds
23,Grindavik,IS,63.8424,-22.4338,44.55,93,20,19.04,few clouds
24,Aksarka,RU,66.5606,67.7975,38.07,54,8,13.27,clear sky
25,Port Lincoln,AU,-34.7333,135.8667,58.55,37,100,16.46,overcast clouds
26,Burnie,AU,-41.0667,145.9167,51.93,74,28,0.4,scattered clouds
27,Onguday,RU,50.75,86.15,53.13,59,50,1.07,scattered clouds
28,Chokurdakh,RU,70.6333,147.9167,65.8,23,5,13.04,clear sky
29,Khatanga,RU,71.9667,102.5,47.34,78,100,7.72,overcast clouds
30,Launceston,AU,-41.45,147.1667,45.16,87,90,4.9,overcast clouds
31,Kaitangata,NZ,-46.2817,169.8464,50.97,92,100,7.29,overcast clouds
32,Mataura,NZ,-46.1927,168.8643,50.0,79,100,5.01,overcast clouds
33,Lakselv,NO,70.0513,24.9718,46.22,66,90,5.75,overcast clouds
34,Vemalwada,IN,18.4667,78.8833,86.9,52,14,11.14,few clouds
35,Kincardine,GB,56.0667,-3.7167,55.81,89,2,1.36,clear sky
36,Barrow,US,71.2906,-156.7887,33.82,80,90,13.8,overcast clouds
37,Oistins,BB,13.0667,-59.5333,80.69,65,20,19.57,few clouds
38,Kantemirovka,RU,49.7089,39.8592,58.15,95,100,7.74,overcast clouds
39,San Andres,CO,12.5847,-81.7006,82.4,78,20,11.5,few clouds
40,Kununurra,AU,-15.7667,128.7333,78.78,27,98,11.5,overcast clouds
41,Kushmurun,KZ,52.4503,64.6311,67.06,73,75,10.47,broken clouds
42,Esperance,AU,-33.8667,121.9,55.24,80,100,25.17,light rain
43,Hermanus,ZA,-34.4187,19.2345,56.89,70,100,8.1,overcast clouds
44,Nazran,RU,43.2261,44.765,51.58,100,0,4.34,clear sky
45,Kaeo,NZ,-35.1,173.7833,63.32,73,6,12.91,clear sky
46,Gamba,GA,-2.65,10.0,75.63,91,19,6.46,few clouds
47,Penzance,GB,50.1186,-5.5371,52.81,90,0,12.77,clear sky
48,Geraldton,AU,-28.7667,114.6,59.41,94,40,14.79,scattered clouds
49,Mandan,US,46.8267,-100.8896,75.18,26,20,17.27,few clouds
50,Cidreira,BR,-30.1811,-50.2056,49.91,61,2,6.4,clear sky
51,San Patricio,US,28.017,-97.5169,84.29,77,18,14.12,few clouds
52,Amurzet,RU,47.6967,131.0981,57.22,66,94,4.14,overcast clouds
53,Tual,ID,-5.6667,132.75,81.61,77,100,19.35,overcast clouds
54,Norman Wells,CA,65.282,-126.8329,57.24,47,75,17.27,broken clouds
55,Balakhta,RU,55.38,91.6,47.82,57,1,3.42,clear sky
56,Ponta Do Sol,PT,32.6667,-17.1,65.01,59,13,3.0,few clouds
57,Smithers,CA,54.7804,-127.1743,53.92,76,90,3.44,overcast clouds
58,Ribeira Grande,PT,38.5167,-28.7,63.86,83,100,6.93,overcast clouds
59,San Carlos De Bariloche,AR,-41.1456,-71.3082,49.75,66,75,10.71,broken clouds
60,Yellowknife,CA,62.456,-114.3525,51.3,57,75,5.75,broken clouds
61,New Norfolk,AU,-42.7826,147.0587,47.91,57,100,3.29,overcast clouds
62,Punta Arenas,CL,-53.15,-70.9167,33.91,69,75,6.53,broken clouds
