City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Beringovskiy,RU,2021-05-26 23:55:27,63.05,179.3167,32.83,93,99,15.39
1,San Policarpo,PH,2021-05-26 23:55:28,12.1791,125.5072,82.58,82,55,6.78
2,Hobyo,SO,2021-05-26 23:55:28,5.3505,48.5268,78.33,78,77,18.21
3,Tiksi,RU,2021-05-26 23:52:17,71.6872,128.8694,35.74,92,65,3.15
4,Albany,US,2021-05-26 23:52:14,42.6001,-73.9662,71.02,88,68,4.0
5,Codrington,AU,2021-05-26 23:53:20,-38.2667,141.9667,56.16,76,51,14.09
6,Cabo San Lucas,MX,2021-05-26 23:51:22,22.8909,-109.9124,96.8,43,99,12.24
7,Busselton,AU,2021-05-26 23:55:29,-33.65,115.3333,56.05,66,54,14.83
8,Manbij,SY,2021-05-26 23:55:29,36.5281,37.9549,70.57,24,0,6.96
9,Rikitea,PF,2021-05-26 23:51:04,-23.1203,-134.9692,75.42,72,94,20.45
10,Cape Town,ZA,2021-05-26 23:55:29,-33.9258,18.4232,56.12,86,0,3.44
11,Homnabad,IN,2021-05-26 23:55:30,17.7667,77.1333,78.85,51,100,16.67
12,Yerbogachen,RU,2021-05-26 23:55:30,61.2767,108.0108,45.54,41,55,9.44
13,Loandjili,CG,2021-05-26 23:55:30,-4.7561,11.8578,77.11,94,40,2.3
14,Marysville,US,2021-05-26 23:55:31,48.0518,-122.1771,67.44,56,1,1.99
15,Matagami,CA,2021-05-26 23:55:31,49.7502,-77.6328,41.11,87,75,14.43
16,Hilo,US,2021-05-26 23:54:59,19.7297,-155.09,78.8,86,35,5.01
17,Mataura,NZ,2021-05-26 23:55:31,-46.1927,168.8643,49.48,68,94,4.23
18,Thompson,CA,2021-05-26 23:52:59,55.7435,-97.8558,42.96,39,20,11.5
19,Port Alfred,ZA,2021-05-26 23:55:32,-33.5906,26.891,59.58,81,90,4.34
20,Saldanha,ZA,2021-05-26 23:55:32,-33.0117,17.9442,53.65,85,100,4.12
21,Kishi,NG,2021-05-26 23:55:32,9.0833,3.85,76.71,84,75,9.73
22,Ushuaia,AR,2021-05-26 23:55:33,-54.8,-68.3,28.06,100,75,12.66
23,Bandarbeyla,SO,2021-05-26 23:55:33,9.4942,50.8122,78.93,78,77,19.26
24,Katsuura,JP,2021-05-26 23:55:33,35.1333,140.3,64.51,93,100,10.25
25,Siemiatycze,PL,2021-05-26 23:55:33,52.4272,22.8623,51.26,69,92,10.92
26,Barrow,US,2021-05-26 23:51:07,71.2906,-156.7887,35.62,80,90,12.66
27,Cidreira,BR,2021-05-26 23:52:26,-30.1811,-50.2056,57.63,75,1,7.43
28,Tasiilaq,GL,2021-05-26 23:55:34,65.6145,-37.6368,38.75,90,100,29.1
29,Puerto Ayora,EC,2021-05-26 23:55:34,-0.7393,-90.3518,74.55,91,47,5.01
30,Erdenet,MN,2021-05-26 23:55:35,49.0333,104.0833,43.88,58,86,7.92
31,Sao Filipe,CV,2021-05-26 23:55:35,14.8961,-24.4956,73.44,76,0,7.23
32,Bredasdorp,ZA,2021-05-26 23:55:35,-34.5322,20.0403,50.29,93,100,4.47
33,Srandakan,ID,2021-05-26 23:55:36,-7.9386,110.2506,78.69,81,98,5.21
34,Pohrebyshche,UA,2021-05-26 23:55:36,49.4864,29.2636,52.7,95,16,3.33
35,Carnarvon,AU,2021-05-26 23:55:36,-24.8667,113.6333,55.47,76,58,5.75
36,Hermanus,ZA,2021-05-26 23:55:36,-34.4187,19.2345,55.9,75,98,4.83
37,Garissa,KE,2021-05-26 23:55:37,-0.4536,39.6401,73.22,80,50,15.61
38,Provideniya,RU,2021-05-26 23:55:37,64.3833,-173.3,44.71,53,0,22.37
39,Bengkulu,ID,2021-05-26 23:52:31,-3.8004,102.2655,78.42,80,96,4.03
40,Bathurst,AU,2021-05-26 23:53:15,-33.4166,149.5806,52.83,67,1,12.77
41,Luderitz,NA,2021-05-26 23:55:38,-26.6481,15.1594,63.19,65,62,4.61
42,Altamira,BR,2021-05-26 23:55:38,-3.2033,-52.2064,76.8,81,61,1.43
43,Hithadhoo,MV,2021-05-26 23:51:02,-0.6,73.0833,83.82,70,100,20.13
44,Severo-Kurilsk,RU,2021-05-26 23:55:38,50.6789,156.125,38.68,98,100,11.32
45,Victoria,HK,2021-05-26 23:52:25,22.2855,114.1577,89.96,83,83,1.99
46,Ambulu,ID,2021-05-26 23:55:39,-8.345,113.6058,77.23,80,95,2.42
47,Bluff,NZ,2021-05-26 23:55:39,-46.6,168.3333,49.8,70,96,14.67
48,Atar,MR,2021-05-26 23:55:39,20.5169,-13.0499,85.62,17,0,8.57
49,Hamilton,US,2021-05-26 23:55:40,39.1834,-84.5333,74.59,88,90,1.01
50,Pangnirtung,CA,2021-05-26 23:55:40,66.1451,-65.7125,26.28,92,49,3.02
51,Haines Junction,CA,2021-05-26 23:55:40,60.7522,-137.5108,49.95,66,94,3.44
52,Gat,IL,2021-05-26 23:53:04,31.61,34.7642,74.39,57,0,0.78
53,Punta Arenas,CL,2021-05-26 23:52:03,-53.15,-70.9167,32.11,74,20,13.11
54,Lagunas,PE,2021-05-26 23:55:41,-5.2269,-75.6753,75.24,87,53,3.91
55,Huron,US,2021-05-26 23:55:41,41.1501,-82.5499,73.31,73,100,9.35
56,Santa Maria,BR,2021-05-26 23:55:41,-29.6842,-53.8069,51.1,93,0,2.98
57,Nome,US,2021-05-26 23:51:25,64.5011,-165.4064,66.27,20,1,9.22
58,Longyearbyen,SJ,2021-05-26 23:55:42,78.2186,15.6401,33.64,86,75,13.8
59,Airai,TL,2021-05-26 23:55:42,-8.9266,125.4092,65.08,65,55,4.74
60,Derzhavinsk,KZ,2021-05-26 23:55:43,51.1,66.3167,63.45,68,49,16.06
61,Broken Hill,AU,2021-05-26 23:55:43,-31.95,141.4333,47.91,81,0,4.61
62,Huanan,CN,2021-05-26 23:55:43,46.2167,130.5167,59.54,55,30,3.53
63,Hobart,AU,2021-05-26 23:55:43,-42.8794,147.3294,50.25,64,40,1.01
64,Fort Nelson,CA,2021-05-26 23:55:44,58.8053,-122.7002,56.79,51,75,0.0
65,Petropavl,KZ,2021-05-26 23:55:44,54.8753,69.1628,53.38,66,2,12.1
66,Portel,BR,2021-05-26 23:55:44,-1.9356,-50.8211,78.04,81,72,1.36
67,Diffa,NE,2021-05-26 23:55:45,13.3154,12.6113,84.69,8,4,8.43
68,Babati,TZ,2021-05-26 23:55:45,-4.2167,35.75,54.61,95,25,1.43
69,Lorengau,PG,2021-05-26 23:55:45,-2.0226,147.2712,81.09,85,96,11.45
